City Name,Population,Density,Area
Berlin,3520031,3965,887.7
Hamburg,1787408,2366,755.16
Munich,1450381,4355,310.69
Cologne,1060582,2618,405.17
Frankfurt,732688,2737,248.31
Stuttgart,623738,2925,207.35
Düsseldorf,612178,2710,217.22
Dortmund,586181,2068,280.71
Essen,582624,2732,210.32
Leipzig,560472,1758,297.36
Bremen,557464,1682,325.42
Dresden,543825,1593,328.31
Hanover,532163,2560,204.14
Nuremberg,509975,2713,186.38
Duisburg,491231,2103,232.83
Bochum,364742,2573,145.66
Wuppertal,350046,2077,168.39
Bielefeld,333090,1253,257.92
Bonn,318809,2301,141.22
Münster,310039,924,302.96
Karlsruhe,307.755,1699,173.46
Mannheim,305780,2160,144.96
Augsburg,286374,1803,146.84
Wiesbaden,276218,1353,203.93
Gelsenkirchen,260368,2458,104.94
Mönchengladbach,259996,1514,170.45
Braunschweig,251364,1295,192.15
Chemnitz,248645,1101,220.84
Kiel,246306,2019,118.65
Aachen,245885,1608,160.84
Halle,236991,1725,135.02
Magdeburg,235723,1152,200.99
Freiburg,226393,1465,153.06
Krefeld,225144,1707,137.75
Lübeck,216253,981,214.21
Oberhausen,210934,2762,77.11
Erfurt,210118,762,269.14
Mainz,209779,2038,97.74
Rostock,206011,1118,181.26
Kassel,197984,1831,106.78
Hagen,189044,1176,160.35
Hamm,179397,803,226.25
Saarbrücken,178.151,1052,167.09
Mülheim,169278,1833,91.29
Potsdam,167745,891,188.25
Ludwigshafen,164718,2117,77.55
Oldenburg,163830,1575,102.98
Leverkusen,163487,2038,78.87
Osnabrück,162403,1370,119.8
Solingen,158726,1786,89.54
