Country Name,Country Code,Banner Size,Impression
Germany,de,320x50,2750000
Germany,de,300x250,424750000
Germany,de,728x90,166000000
Germany,de,320x480,123000000
United Kingdom,gb,320x50,958000000
United Kingdom,gb,300x250,593000000
United Kingdom,gb,728x90,393000000
United Kingdom,gb,320x480,105000000
France,fr,320x50,588000000
France,fr,300x250,177000000
France,fr,728x90,146000000
France,fr,320x480,106000000
Romania,ro,320x50,48600000
Romania,ro,300x250,8350000
Romania,ro,728x90,3340000
Romania,ro,320x480,12600000
United Arab Emirates,ae,320x50,102000000
United Arab Emirates,ae,300x250,30600000
United Arab Emirates,ae,728x90,8920000
United Arab Emirates,ae,320x480,12400000
Qatar,qa,320x50,40400000
Qatar,qa,300x250,10500000
Qatar,qa,728x90,2370000
Qatar,qa,320x480,5240000
Saudi Arabia,sa,320x50,268000
Saudi Arabia,sa,300x250,74700000
Saudi Arabia,sa,728x90,10400000
Saudi Arabia,sa,320x480,77800000
Bahrain,bh,320x50,15600000
Bahrain,bh,300x250,4540000
Bahrain,bh,728x90,753000
Bahrain,bh,320x480,3180000
Singapore,sg,320x50,60200000
Singapore,sg,300x250,35300000
Singapore,sg,728x90,10200000
Singapore,sg,320x480,6530000
Vietnam,vn,320x50,118000000
Vietnam,vn,300x250,72200000
Vietnam,vn,728x90,7690000
Vietnam,vn,320x480,27900000
Indonesia,id,320x50,317000000
Indonesia,id,300x250,257000000
Indonesia,id,728x90,12000000
Indonesia,id,320x480,49200000
Philippines,ph,320x50,204000000
Philippines,ph,300x250,109000000
Philippines,ph,728x90,26400000
Philippines,ph,320x480,55700000
Thailand,th,320x50,372000000
Thailand,th,300x250,76100000
Thailand,th,728x90,11700000
Thailand,th,320x480,48200000
Australia,au,320x50,273000000
Australia,au,300x250,159000000
Australia,au,728x90,95800000
Australia,au,320x480,16700000
New Zealand,nz,320x50,77800000
New Zealand,nz,300x250,26300000
New Zealand,nz,728x90,13400000
New Zealand,nz,320x480,4180000
United States,us,320x50,10100000000
United States,us,300x250,8580000000
United States,us,728x90,1780000000
United States,us,320x480,2130000000
Turkey,tr,320x50,734000000
Turkey,tr,300x250,193000000
Turkey,tr,728x90,29300000
Turkey,tr,320x480,87100000
